Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Waypoint,Alfa,EPBAA,49.84833,19.03028,,,,EPBA/VFR,,,,
Waypoint,Bravo,EPBAB,49.80528,18.89139,,,,EPBA/VFR,,,,
Waypoint,Charlie,EPBAC,49.78583,19.06778,,,,EPBA/VFR,,,,
Waypoint,Delta,EPBKD,53.10972,23.23583,,,,EPBK/VFR,,,,
Waypoint,Kilo,EPBKK,53.08194,23.10167,,,,EPBK/VFR,,,,
Waypoint,Lima,EPBKL,53.03000,23.12361,,,,EPBK/VFR,,,,
Waypoint,Oscar,EPBKO,53.18528,23.26222,,,,EPBK/VFR,,,,
Waypoint,Papa,EPBKP,53.13889,23.05833,,,,EPBK/VFR,,,,
Waypoint,Romeo,EPBKR,53.05222,23.33556,,,,EPBK/VFR,,,,
Waypoint,Kilo,EPBYK,52.97250,17.72278,,,,EPBY/IFR/VFR,,,,
Waypoint,Lima,EPBYL,52.95167,17.92028,,,,EPBY/IFR/VFR,,,,
Waypoint,Mike,EPBYM,53.22361,18.03694,,,,EPBY/IFR/VFR,,,,
Waypoint,November,EPBYN,53.17611,18.05639,,,,EPBY/IFR/VFR,,,,
Waypoint,Oscar,EPBYO,53.13972,17.59167,,,,EPBY/IFR/VFR,,,,
Waypoint,Papa,EPBYP,53.15694,17.88861,,,,EPBY/IFR/VFR,,,,
Waypoint,Romeo,EPBYR,53.15333,18.00194,,,,EPBY/IFR/VFR,,,,
Waypoint,Sierra,EPBYS,53.05250,17.99611,,,,EPBY/IFR/VFR,,,,
Waypoint,Uniform,EPBYU,53.20778,18.37861,,,,EPBY/IFR/VFR,,,,
Waypoint,Whiskey,EPBYW,52.97611,18.09944,,,,EPBY/IFR/VFR,,,,
Waypoint,Kilo,EPCDK,51.02861,23.22083,,,,EPCD/VFR,,,,
Waypoint,November,EPCDN,51.16778,23.35000,,,,EPCD/VFR,,,,
Waypoint,Romeo,EPCDR,51.12139,23.22917,,,,EPCD/VFR,,,,
Waypoint,Zulu,EPCDZ,51.01861,23.37083,,,,EPCD/VFR,,,,
Waypoint,Golf,EPCEG,54.55278,17.83639,,,,EPCE/MIL,,,,
Waypoint,Hotel,EPCEH,54.50472,17.63972,,,,EPCE/MIL,,,,
Waypoint,India,EPCEI,54.49694,17.49444,,,,EPCE/MIL,,,,
Waypoint,Juliett,EPCEJ,54.35472,17.57556,,,,EPCE/MIL,,,,
Waypoint,Kilo,EPCEK,54.35028,17.90333,,,,EPCE/MIL,,,,
Waypoint,Lima,EPCEL,54.47056,18.03472,,,,EPCE/MIL,,,,
Waypoint,Sierra,EPCES,54.32528,17.79056,,,,EPCE/MIL,,,,
Waypoint,Echo,EPDAE,54.38472,16.39667,,,,EPDA/MIL,,,,
Waypoint,Golf,EPDAG,54.44000,16.37333,,,,EPDA/MIL,,,,
Waypoint,Hotel,EPDAH,54.47750,16.65167,,,,EPDA/MIL,,,,
Waypoint,Juliett,EPDAJ,54.54000,16.54500,,,,EPDA/MIL,,,,
Waypoint,Lima,EPDAL,54.30667,16.19667,,,,EPDA/MIL,,,,
Waypoint,Oscar,EPDAO,54.35833,16.51500,,,,EPDA/MIL,,,,
Waypoint,Whiskey,EPDAW,54.30833,16.38611,,,,EPDA/MIL,,,,
Waypoint,Bravo,EPDEB,51.56750,22.13111,,,,EPDE/MIL,,,,
Waypoint,Delta,EPDED,51.54861,21.69222,,,,EPDE/MIL,,,,
Waypoint,Golf,EPDEG,51.48139,21.91139,,,,EPDE/MIL,,,,
Waypoint,Kilo,EPDEK,51.41222,22.05333,,,,EPDE/MIL,,,,
Waypoint,Lima,EPDEL,51.73972,21.67472,,,,EPDE/MIL,,,,
Waypoint,Mike,EPDEM,51.52361,22.31583,,,,EPDE/MIL,,,,
Waypoint,November,EPDEN,51.58667,21.93889,,,,EPDE/MIL,,,,
Waypoint,Oscar,EPDEO,51.53500,21.76111,,,,EPDE/MIL,,,,
Waypoint,Papa,EPDEP,51.41111,21.92833,,,,EPDE/MIL,,,,
Waypoint,Sierra,EPDES,51.52361,21.86611,,,,EPDE/MIL,,,,
Waypoint,Whiskey,EPDEW,51.58917,21.54111,,,,EPDE/MIL,,,,
Waypoint,Yankee,EPDEY,51.63972,21.98361,,,,EPDE/MIL,,,,
Waypoint,Zulu,EPDEZ,51.36306,22.29417,,,,EPDE/MIL,,,,
Waypoint,Golf,EPGDG,54.37444,18.77889,,,,EPGD/IFR/VFR,,,,
Waypoint,India,EPGDI,54.47111,18.30972,,,,EPGD/IFR/VFR,,,,
Waypoint,Mike,EPGDM,54.44472,18.54444,,,,EPGD/IFR/VFR,,,,
Waypoint,November,EPGDN,54.41167,18.48500,,,,EPGD/IFR/VFR,,,,
Waypoint,Sierra,EPGDS,54.34500,18.43500,,,,EPGD/IFR/VFR,,,,
Waypoint,X-ray,EPGDX,54.27611,18.48944,,,,EPGD/IFR/VFR,,,,
Waypoint,Zulu,EPGDZ,54.32500,18.18361,,,,EPGD/IFR/VFR,,,,
Waypoint,Echo,EPGIE,53.43778,18.94417,,,,EPGI/VFR,,,,
Waypoint,Golf,EPGIG,53.61083,18.94639,,,,EPGI/VFR,,,,
Waypoint,Mike,EPGIM,53.48389,18.73972,,,,EPGI/VFR,,,,
Waypoint,Oscar,EPGIO,53.55528,18.76556,,,,EPGI/VFR,,,,
Waypoint,Romeo,EPGIR,53.52333,18.95556,,,,EPGI/VFR,,,,
Waypoint,Juliett,EPINJ,52.85611,18.19889,,,,EPIN/VFR,,,,
Waypoint,Mike,EPINM,52.67722,18.00750,,,,EPIN/VFR,,,,
Waypoint,November,EPINN,52.89417,18.31611,,,,EPIN/VFR,,,,
Waypoint,Papa,EPINP,52.83389,18.65361,,,,EPIN/VFR,,,,
Waypoint,Romeo,EPINR,52.63139,18.53500,,,,EPIN/VFR,,,,
Waypoint,Sierra,EPINS,52.73194,18.26972,,,,EPIN/VFR,,,,
Waypoint,Whiskey,EPINW,52.81417,18.47167,,,,EPIN/VFR,,,,
Waypoint,Zulu,EPIRZ,52.90333,18.14111,,,,EPIR/MIL,,,,
Waypoint,Alfa,EPJSA,50.96111,15.79639,,,,EPJS/VFR,,,,
Waypoint,Juliett,EPJSJ,50.87472,15.92000,,,,EPJS/VFR,,,,
Waypoint,Papa,EPJSP,50.96361,15.64500,,,,EPJS/VFR,,,,
Waypoint,Sierra,EPJSS,50.82944,15.70722,,,,EPJS/VFR,,,,
Waypoint,Whiskey,EPJSW,50.93833,15.90917,,,,EPJS/VFR,,,,
Waypoint,Zulu,EPJSZ,50.88389,15.81111,,,,EPJS/VFR,,,,
Waypoint,Delta,EPKAD,50.80167,20.80583,,,,EPKA/VFR,,,,
Waypoint,Kilo,EPKAK,50.90833,20.57972,,,,EPKA/VFR,,,,
Waypoint,Tango,EPKAT,50.84139,20.64194,,,,EPKA/VFR,,,,
Waypoint,Whiskey,EPKAW,50.84528,20.85722,,,,EPKA/VFR,,,,
Waypoint,Zulu,EPKAZ,50.97444,20.66056,,,,EPKA/VFR,,,,
Waypoint,Echo,EPKEE,54.01194,21.58361,,,,EPKE/VFR,,,,
Waypoint,Sierra,EPKES,53.95333,21.37139,,,,EPKE/VFR,,,,
Waypoint,Whiskey,EPKEW,54.02556,21.21722,,,,EPKE/VFR,,,,
Waypoint,Bravo,EPKKB,50.26472,19.43472,,,,EPKK/IFR/VFR,,,,
Waypoint,Delta,EPKKD,49.85694,20.14167,,,,EPKK/IFR/VFR,,,,
Waypoint,Echo,EPKKE,50.04194,20.09778,,,,EPKK/IFR/VFR,,,,
Waypoint,Hotel,EPKKH,50.31806,19.23722,,,,EPKK/IFR/VFR,,,,
Waypoint,India,EPKKI,50.15000,19.63333,,,,EPKK/IFR/VFR,,,,
Waypoint,Kilo,EPKKK,50.05000,19.80000,,,,EPKK/IFR/VFR,,,,
Waypoint,Lima,EPKKL,50.13639,20.11444,,,,EPKK/IFR/VFR,,,,
Waypoint,Mike,EPKKM,50.35000,20.03333,,,,EPKK/IFR/VFR,,,,
Waypoint,Oscar,EPKKO,50.20000,19.88333,,,,EPKK/IFR/VFR,,,,
Waypoint,Romeo,EPKKR,49.91083,19.41278,,,,EPKK/IFR/VFR,,,,
Waypoint,Sierra,EPKKS,49.98333,19.81667,,,,EPKK/IFR/VFR,,,,
Waypoint,Uniform,EPKKU,49.79194,19.77806,,,,EPKK/IFR/VFR,,,,
Waypoint,Zulu,EPKKZ,50.10917,19.77944,,,,EPKK/IFR/VFR,,,,
Waypoint,Mike,EPKMM,50.17889,18.90694,,,,EPKM/VFR,,,,
Waypoint,Papa,EPKMP,50.39472,18.62917,,,,EPKM/VFR,,,,
Waypoint,Sierra,EPKMS,50.13250,19.02500,,,,EPKM/VFR,,,,
Waypoint,Tango,EPKMT,50.35389,18.86639,,,,EPKM/VFR,,,,
Waypoint,November,EPKPN,50.12028,20.37889,,,,EPKP/VFR,,,,
Waypoint,Papa,EPKPP,50.02111,20.15167,,,,EPKP/VFR,,,,
Waypoint,Tango,EPKPT,50.11167,20.23556,,,,EPKP/VFR,,,,
Waypoint,Zulu,EPKPZ,50.05306,20.32917,,,,EPKP/VFR,,,,
Waypoint,Bravo,EPKRB,49.76250,21.68472,,,,EPKR/VFR,,,,
Waypoint,Hotel,EPKRH,49.67028,21.88917,,,,EPKR/VFR,,,,
Waypoint,India,EPKRI,49.60500,21.80694,,,,EPKR/VFR,,,,
Waypoint,Kilo,EPKRK,49.66556,21.61083,,,,EPKR/VFR,,,,
Waypoint,Charlie,EPKTC,50.62361,18.83611,,,,EPKT/IFR/VFR,,,,
Waypoint,Golf,EPKTG,50.40361,19.05500,,,,EPKT/IFR/VFR,,,,
Waypoint,Juliett,EPKTJ,50.67167,19.20500,,,,EPKT/IFR/VFR,,,,
Waypoint,November,EPKTN,50.49722,19.07917,,,,EPKT/IFR/VFR,,,,
Waypoint,Whiskey,EPKTW,50.58333,19.05833,,,,EPKT/IFR/VFR,,,,
Waypoint,X-ray,EPKTX,50.45389,19.08139,,,,EPKT/IFR/VFR,,,,
Waypoint,Bravo,EPLBB,51.09028,22.28778,,,,EPLB/IFR/VFR,,,,
Waypoint,Delta,EPLBD,51.34556,22.64056,,,,EPLB/IFR/VFR,,,,
Waypoint,Echo,EPLBE,51.16056,22.94528,,,,EPLB/IFR/VFR,,,,
Waypoint,Juliett,EPLBJ,51.10083,22.58278,,,,EPLB/IFR/VFR,,,,
Waypoint,Kilo,EPLBK,51.11583,22.76194,,,,EPLB/IFR/VFR,,,,
Waypoint,Lima,EPLBL,51.30389,22.87028,,,,EPLB/IFR/VFR,,,,
Waypoint,Papa,EPLBP,51.13000,22.83694,,,,EPLB/IFR/VFR,,,,
Waypoint,Romeo,EPLBR,51.32833,22.99694,,,,EPLB/IFR/VFR,,,,
Waypoint,Sierra,EPLBS,51.22167,22.74194,,,,EPLB/IFR/VFR,,,,
Waypoint,Tango,EPLBT,51.28028,22.70389,,,,EPLB/IFR/VFR,,,,
Waypoint,Whiskey,EPLBW,51.34972,22.34500,,,,EPLB/IFR/VFR,,,,
Waypoint,Zulu,EPLBZ,51.17778,22.52833,,,,EPLB/IFR/VFR,,,,
Waypoint,Bravo,EPLKB,51.34333,19.37639,,,,EPLK/MIL,,,,
Waypoint,Delta,EPLKD,51.69000,18.98083,,,,EPLK/MIL,,,,
Waypoint,Golf,EPLKG,51.56444,19.51917,,,,EPLK/MIL,,,,
Waypoint,Mike,EPLKM,51.45806,18.83750,,,,EPLK/MIL,,,,
Waypoint,November,EPLKN,51.57000,19.18806,,,,EPLK/MIL,,,,
Waypoint,Sierra,EPLKS,51.53306,19.17222,,,,EPLK/MIL,,,,
Waypoint,X-ray,EPLKX,51.51250,19.02556,,,,EPLK/MIL,,,,
